Nationality,FIFA_Code
Morocco,MAR
Spain,ESP
France,FRA
Belgium,BEL
Brazil,BRA
Romania,ROU
Greece,GRC
Croatia,HRV
Slovenia,SVN
Uruguay,URY
Portugal,PRT
Argentina,ARG
Mozambique,MOZ
Montenegro,MNE
TÃ¼rkiye,TUR
Guadeloupe,GLP
Switzerland,CHE
Georgia,GEO
Guinea,GIN
Netherlands,NLD
Ukraine,UKR
North Macedonia,MKD
Serbia,SRB
United States,USA
Nigeria,NGA
Mexico,MEX
Denmark,DNK
Senegal,SEN
Norway,NOR
Algeria,DZA
Cote d'Ivoire,CIV
Andorra,AND
Colombia,COL
Cape Verde,CPV
Ecuador,ECU
Germany,DEU
Austria,AUT
Dominican Republic,DOM
England,GBR
Chile,CHL
DR Congo,COD
Italy,ITA
Bosnia-Herzegovina,BIH
Gabon,GAB
Poland,POL
Ghana,GHA
Sweden,SWE
Japan,JPN
