Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Nemanja Gudelj,rs SRB,"DF,MF",30.0,30.9,1911,206,837,910,169,18,1911,5,3,60.0,2,40.0,1103,5878,3393,29,37,0,14,2,1278,6,Matches
Óliver Torres,es ESP,"MF,FW",27.0,23.7,1314,10,156,629,550,55,1314,42,15,35.7,17,40.5,886,4102,1805,38,47,6,34,47,980,156,Matches
Yassine Bounou,ma MAR,GK,31.0,23.9,1011,766,995,17,0,0,1011,1,1,100.0,0,0.0,596,2682,1374,0,0,0,4,0,566,0,Matches
Jesús Navas,es ESP,"DF,FW",36.0,22.0,1506,59,359,537,621,29,1506,22,11,50.0,6,27.3,867,4515,2101,46,33,9,17,10,976,207,Matches
Marcos Acuña,ar ARG,DF,30.0,21.2,1523,69,406,670,467,26,1523,54,26,48.1,23,42.6,823,4070,2178,49,43,5,29,20,903,94,Matches
Ivan Rakitić,hr CRO,MF,34.0,19.9,1435,28,212,780,451,33,1433,11,4,36.4,4,36.4,853,3736,2003,42,35,2,24,13,1003,84,Matches
Érik Lamela,ar ARG,"FW,MF",30.0,20.5,1038,3,105,397,550,108,1038,75,33,44.0,34,45.3,657,4074,1907,66,51,28,55,50,751,162,Matches
Joan Jordán,es ESP,MF,28.0,17.7,1221,30,248,734,243,8,1221,10,5,50.0,4,40.0,690,2675,1112,9,19,0,16,5,903,22,Matches
Fernando,br BRA,"MF,DF",35.0,17.5,1025,83,369,532,131,5,1025,5,3,60.0,1,20.0,584,2441,1049,6,17,0,13,12,656,13,Matches
Youssef En-Nesyri,ma MAR,FW,25.0,18.5,439,19,44,186,211,103,439,23,4,17.4,16,69.6,190,927,369,16,5,14,46,9,286,71,Matches
Gonzalo Montiel,ar ARG,DF,25.0,16.9,1023,54,291,433,310,33,1023,23,10,43.5,12,52.2,532,2769,1584,34,28,5,23,9,576,87,Matches
Loïc Bade,fr FRA,DF,22.0,16.1,1030,117,572,431,34,10,1030,9,6,66.7,2,22.2,609,2716,1276,7,5,0,6,2,648,2,Matches
Tanguy Nianzou,fr FRA,DF,20.0,15.2,894,73,368,498,35,11,894,12,10,83.3,2,16.7,547,2428,1383,4,6,0,4,3,627,0,Matches
Rafa Mir,es ESP,FW,25.0,14.4,396,12,36,170,192,71,396,14,0,0.0,13,92.9,188,859,332,12,5,8,24,12,277,54,Matches
Alex Telles,br BRA,DF,29.0,15.9,880,57,287,348,252,11,880,28,14,50.0,13,46.4,400,1946,936,21,11,4,11,1,461,80,Matches
Karim Rekik,nl NED,DF,27.0,13.1,799,56,323,429,52,11,799,6,3,50.0,3,50.0,524,2405,1309,13,10,1,7,5,569,7,Matches
Pape Gueye,sn SEN,MF,23.0,13.0,699,24,144,422,141,21,699,23,14,60.9,6,26.1,403,1927,818,9,13,2,19,11,438,27,Matches
Marko Dmitrović,rs SRB,GK,30.0,14.1,540,455,539,1,0,0,540,0,0,,0,,268,1454,792,0,1,0,1,0,209,0,Matches
Lucas Ocampos,ar ARG,"FW,MF",28.0,12.9,632,13,64,265,314,64,629,61,25,41.0,34,55.7,421,2416,1095,33,27,16,40,17,461,113,Matches
Papu Gómez,ar ARG,"FW,MF",34.0,11.8,637,8,69,313,264,27,637,36,15,41.7,14,38.9,470,2985,1354,34,36,6,21,13,513,67,Matches
Suso,es ESP,"MF,FW",28.0,11.8,675,6,59,235,392,23,675,42,25,59.5,13,31.0,461,2714,1238,27,27,7,17,19,521,96,Matches
Bryan Gil,es ESP,"FW,DF",21.0,10.2,515,10,81,188,254,25,515,45,19,42.2,17,37.8,339,1802,743,28,21,4,31,18,337,75,Matches
Isco,es ESP,"MF,FW",30.0,8.9,509,9,70,275,172,20,509,29,11,37.9,9,31.0,339,2050,818,16,23,1,21,22,387,36,Matches
Carmona,es ESP,DF,20.0,5.9,400,33,147,196,60,6,400,6,2,33.3,3,50.0,227,935,526,9,11,2,11,2,249,8,Matches
Marcão,br BRA,DF,26.0,4.2,255,26,120,130,5,0,255,1,1,100.0,0,0.0,150,824,422,1,0,0,8,0,186,0,Matches
Kike Salas,es ESP,DF,20.0,4.1,255,39,133,112,10,3,255,0,0,,0,,149,530,227,3,1,0,2,1,177,0,Matches
Thomas Delaney,dk DEN,MF,30.0,3.4,188,8,52,108,28,7,188,0,0,,0,,113,361,110,1,0,1,4,3,138,3,Matches
Kasper Dolberg,dk DEN,FW,24.0,2.2,46,5,7,23,17,5,46,3,1,33.3,0,0.0,28,202,75,2,2,0,3,2,31,9,Matches
Manu Bueno,es ESP,MF,18.0,1.7,86,3,25,52,10,0,86,3,1,33.3,2,66.7,48,261,69,0,2,0,1,0,49,1,Matches
Jesús Corona,mx MEX,FW,29.0,1.2,58,1,10,22,27,7,58,7,3,42.9,4,57.1,44,219,109,3,3,1,5,2,47,9,Matches
Adnan Januzaj,be BEL,FW,27.0,0.5,30,0,2,12,16,1,30,8,4,50.0,3,37.5,19,171,32,0,1,0,1,1,22,6,Matches
Diego Iturralde,es ESP,DF,19.0,0.5,16,2,9,7,1,0,16,0,0,,0,,8,24,9,0,0,0,0,0,8,1,Matches
Iván Romero,es ESP,MF,21.0,0.1,5,0,0,3,2,0,5,0,0,,0,,4,19,1,0,0,0,1,1,4,0,Matches
Carlos Álvarez,es ESP,MF,18.0,0.1,6,0,0,3,3,0,6,0,0,,0,,2,18,1,0,0,0,1,0,5,1,Matches
Pedro Ortiz,es ESP,MF,21.0,0.0,2,0,1,1,0,0,2,0,0,,0,,2,1,0,0,0,0,1,0,1,0,Matches
Squad Total,,,28.7,38.0,22999,2284,7140,10069,5984,741,22994,604,269,44.5,257,42.5,13544,67136,32550,558,520,122,515,312,15243,1497,
Opponent Total,,,27.3,38.0,21296,2448,6961,9372,5172,750,21293,661,310,46.9,281,42.5,12175,64880,33009,643,489,160,532,306,13536,1265,
