Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard.1,Standard.2,Standard.3,Standard.4,Standard.5,Standard.6,Standard.7,Standard.8,Standard.9,Standard.10,Standard.11,Expected,Expected.1,Expected.2,Expected.3,Expected.4,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Cristhian Mosquera,es ESP,DF,20.0,36.9,1,5,2,40.0,0.14,0.05,0.2,0.5,10.5,0,0,0,0.4,0.4,0.08,0.6,0.6,Matches
Diego López,es ESP,"MF,FW",22.0,30.4,8,44,14,31.8,1.45,0.46,0.18,0.57,15.1,0,0,0,6.6,6.6,0.15,1.4,1.4,Matches
Giorgi Mamardashvili,ge GEO,GK,23.0,34.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
César Tárrega,es ESP,DF,22.0,33.6,2,20,6,30.0,0.59,0.18,0.1,0.33,10.3,0,0,0,1.9,1.9,0.1,0.1,0.1,Matches
Luis Rioja,es ESP,"MF,FW",30.0,31.5,5,28,12,42.9,0.89,0.38,0.11,0.25,21.2,1,2,2,3.3,1.7,0.06,1.7,1.3,Matches
Javier Guerra,es ESP,MF,21.0,28.7,3,47,10,21.3,1.64,0.35,0.06,0.3,22.8,1,0,0,2.2,2.2,0.05,0.8,0.8,Matches
Enzo Barrenechea,ar ARG,MF,23.0,24.3,1,16,3,18.8,0.66,0.12,0.06,0.33,18.5,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
Dimitri Foulquier,fr FRA,DF,31.0,25.5,0,13,2,15.4,0.51,0.08,0.0,0.0,21.4,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
Hugo Duro,es ESP,FW,24.0,24.1,11,48,16,33.3,1.99,0.66,0.21,0.63,11.1,1,1,1,9.4,8.6,0.18,1.6,1.4,Matches
Domingos André Ribeiro Almeida,pt POR,"MF,FW",24.0,22.0,0,18,5,27.8,0.82,0.23,0.0,0.0,24.1,2,0,0,1.2,1.2,0.07,-1.2,-1.2,Matches
José Luis Gayà,es ESP,DF,29.0,20.0,0,12,4,33.3,0.6,0.2,0.0,0.0,19.3,0,0,0,1.0,1.0,0.09,-1.0,-1.0,Matches
José Luis García Vayá,es ESP,MF,25.0,19.4,2,12,4,33.3,0.62,0.21,0.0,0.0,25.8,1,2,2,2.1,0.5,0.04,-0.1,-0.5,Matches
Jesus Vazquez,es ESP,DF,21.0,10.2,0,5,1,20.0,0.49,0.1,0.0,0.0,26.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Yarek Gasiorowski,es ESP,DF,19.0,10.5,0,3,0,0.0,0.29,0.0,0.0,,7.6,0,0,0,1.1,1.1,0.38,-1.1,-1.1,Matches
Umar Sadiq,ng NGA,FW,27.0,9.2,5,20,7,35.0,2.18,0.76,0.25,0.71,13.2,0,0,0,3.4,3.4,0.19,1.6,1.6,Matches
Thierry Correia,pt POR,DF,25.0,8.5,0,7,3,42.9,0.82,0.35,0.0,0.0,19.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Mouctar Diakhaby,gn GUI,DF,27.0,7.3,2,11,4,36.4,1.52,0.55,0.18,0.5,9.0,0,0,0,1.5,1.5,0.13,0.5,0.5,Matches
Rafa Mir,es ESP,"FW,MF",27.0,8.4,1,27,7,25.9,3.23,0.84,0.04,0.14,16.5,0,0,0,3.0,3.0,0.11,-2.0,-2.0,Matches
Dani Gómez,es ESP,FW,26.0,5.9,2,14,6,42.9,2.37,1.02,0.14,0.33,12.1,0,0,0,2.7,2.7,0.19,-0.7,-0.7,Matches
Francisco Perez,es ESP,"FW,MF",21.0,6.3,0,6,1,16.7,0.95,0.16,0.0,0.0,18.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Hugo Guillamón,es ESP,MF,24.0,4.0,0,2,1,50.0,0.49,0.25,0.0,0.0,24.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Stole Dimitrievski,mk MKD,GK,30.0,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Sergi Canós,es ESP,"MF,FW",27.0,4.1,0,11,3,27.3,2.68,0.73,0.0,0.0,19.8,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Ivan Jaime Pajuelo,es ESP,MF,23.0,3.3,0,8,3,37.5,2.42,0.91,0.0,0.0,18.7,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
Germán Valera,es ESP,MF,22.0,1.6,0,3,2,66.7,1.82,1.22,0.0,0.0,21.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Max Aarons,eng ENG,"DF,MF",24.0,1.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Maximiliano Caufriez,be BEL,DF,27.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rodrigo Abajas,es ESP,DF,21.0,0.7,0,1,0,0.0,1.38,0.0,0.0,,24.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Martín Tejón,es ESP,"MF,DF",20.0,0.5,0,1,0,0.0,1.84,0.0,0.0,,11.7,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Iker Córdoba,es ESP,DF,18.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
David Otorbi,es ESP,MF,16.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Alberto Marí,es ESP,FW,23.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,24.7,38.0,43,382,116,30.4,10.05,3.05,0.1,0.33,17.2,6,5,5,43.2,39.3,0.11,-0.2,-1.3,
Opponent Total,,,26.8,38.0,51,417,140,33.6,10.97,3.68,0.11,0.32,17.7,11,6,9,51.9,44.9,0.11,-0.9,0.1,
